,Artist,Streams,,,,,,,
,Melanie Martinez,"3,949,931,247","2,827,851",55,0,13,42,54,10/27/21
,Alesso,"3,931,582,409","155,730,188",113,0,9,36,84,10/23/21
,6LACK,"3,929,222,178","731,124,680",74,0,10,59,74,10/11/21
,Natti Natasha,"3,913,719,738","1,627,663,373",73,0,9,41,62,10/25/21
,Jason Mraz,"3,901,732,390","88,467,014",233,1,5,45,152,09/02/21
,Megan Thee Stallion,"3,898,422,693","880,735,199",94,0,10,40,74,10/27/21
,Florence + The Machine,"3,894,016,842","211,529",133,0,8,74,123,10/15/21
,Glee Cast,"3,863,044,030",0,723,0,0,89,596,09/24/21
,Lil Pump,"3,857,197,872","466,916,581",54,0,10,38,53,10/23/21
,Christian Nodal,"3,853,792,612","295,574,117",58,0,11,47,58,10/20/21
,Galantis,"3,848,020,699","72,466,143",224,0,8,45,142,10/25/21
,Paulo Londra,"3,846,823,034","90,685,530",28,0,12,28,28,07/05/21
,Nickelback,"3,809,175,661",0,148,0,12,53,104,10/18/21
,Justin Quiles,"3,796,788,470","3,301,910,411",155,0,10,60,120,09/25/21
,Playboi Carti,"3,794,635,950","1,432,064,162",82,0,8,62,71,10/27/21
,Creedence Clearwater Revival,"3,782,765,839",0,131,0,8,32,105,10/13/21
,Bruce Springsteen,"3,779,676,273","31,928,542",769,0,9,50,368,10/20/21
,Madonna,"3,764,091,733","119,722,317",705,0,7,64,310,10/27/21
,Kehlani,"3,762,754,495","1,827,711,791",110,0,9,70,96,10/19/21
,Ne-Yo,"3,761,944,355","1,793,601,060",188,0,10,32,128,10/06/21
,Bryson Tiller,"3,738,686,164","1,721,468,453",61,0,7,47,59,10/24/21
,Whitney Houston,"3,736,199,752","11,031,150",291,0,7,35,137,10/26/21
,Rammstein,"3,731,710,963",0,228,0,9,73,169,10/23/21
,Capital Bra,"3,727,177,405","585,566,255",233,0,7,78,180,10/11/21
,Kane Brown,"3,722,088,164","22,813,517",91,0,9,52,82,10/17/21
,Niall Horan,"3,721,601,976","325,106,768",70,0,9,38,64,10/09/21
,Zé Neto & Cristiano,"3,712,875,164","420,683,112",162,0,10,71,137,10/20/21
,ABBA,"3,702,965,066","25,684",152,0,9,47,128,10/18/21
,Gusttavo Lima,"3,694,316,805","709,385,086",266,0,5,90,202,10/20/21
,Alok,"3,688,679,599","212,353,463",175,0,11,59,104,10/21/21
,Piso 21,"3,685,044,883","54,983,912",74,0,11,27,60,05/26/21
,My Chemical Romance,"3,675,537,307",0,135,0,8,52,114,10/19/21
,Arcangel,"3,641,806,324","4,163,519,474",273,0,7,54,178,10/12/21
,NAV,"3,636,987,090","1,740,497,767",113,0,10,67,113,10/27/21
,Morat,"3,612,911,625","342,122,900",70,0,7,55,66,10/26/21
,Lenny Tavárez,"3,602,268,753","2,986,366,334",84,0,9,42,78,10/19/21
,Bring Me The Horizon,"3,598,615,867","637,221",134,0,10,62,121,10/19/21
,James Bay,"3,594,179,080","3,910,938",75,0,7,40,66,10/14/21
,Thomas Rhett,"3,570,841,348","196,189,924",93,0,13,50,93,09/28/21
,Labrinth,"3,567,683,826","326,316,513",125,0,10,37,90,06/03/21
,Vance Joy,"3,560,343,487",0,69,1,6,34,53,10/07/21
,YG,"3,551,013,571","2,246,418,959",194,0,8,63,130,09/03/21
,Henrique & Juliano,"3,549,520,949","688,545,267",148,0,8,93,141,08/31/21
,Jonas Brothers,"3,530,341,248","456,924,413",93,0,8,35,86,09/22/21
,Kelly Clarkson,"3,522,560,159","193,380,308",322,0,8,40,138,10/27/21
,Wisin,"3,520,148,199","4,992,869,607",114,0,10,38,95,10/12/21
,Disturbed,"3,507,099,735","1,976,285",170,0,6,65,144,09/16/21
,Aerosmith,"3,500,995,544",0,281,0,8,29,146,10/20/21
,Kevin Gates,"3,495,948,086","546,381,469",266,0,4,92,206,05/07/21
,Jennifer Lopez,"3,492,249,241","960,084,793",227,0,8,46,117,10/26/21
,Ryan Lewis,"3,486,320,761",0,33,1,6,28,32,06/04/21
,Avril Lavigne,"3,481,708,412","18,272,625",133,0,9,51,100,10/26/21
,Flume,"3,477,893,543","72,525,427",125,0,7,51,117,09/07/21
,Lil Skies,"3,445,093,149","709,788,156",51,0,7,44,51,10/18/21
,Amy Winehouse,"3,433,255,885","211,101,801",157,0,7,50,90,10/26/21
,Stevie Wonder,"3,396,794,575","233,950,935",582,0,8,45,147,08/29/21
,Tones And I,"3,391,620,905",0,29,1,4,13,18,10/15/21
,TWICE,"3,390,358,761","27,165,014",177,0,9,67,156,10/26/21
,Miguel,"3,369,113,836","1,902,566,777",136,0,5,46,109,09/03/21
,Hans Zimmer,"3,368,679,488","70,151,456","1,422",0,3,72,475,09/26/21
,Backstreet Boys,"3,342,219,888","160,510,228",133,0,8,38,123,10/26/21
,YNW Melly,"3,330,592,777","301,701,697",80,0,9,31,76,09/14/21
,Alejandro Fernández,"3,328,449,536","266,300,006",289,0,6,62,211,08/05/21
,Morgan Wallen,"3,326,026,761","332,071,191",56,0,10,55,56,10/20/21
,Fetty Wap,"3,321,899,161","1,492,928,236",118,0,7,36,69,01/07/21
,Sean Paul,"3,304,701,344","3,146,217,843",373,0,10,36,128,01/05/21
,Maná,"3,282,870,220","42,453,047",213,0,10,49,145,10/01/21
,Wisin & Yandel,"3,270,926,458","899,916,309",288,0,10,47,130,10/11/21
,Kesha,"3,266,045,467","1,655,107,054",138,0,8,38,102,10/26/21
,Yandel,"3,252,007,610","2,319,895,199",173,0,8,51,140,09/28/21
,Steve Aoki,"3,228,090,914","1,297,146,988",389,0,6,60,202,10/17/21
,Jeremih,"3,211,536,876","2,897,368,856",123,0,8,33,91,09/19/21
,Dr. Dre,"3,198,481,391","1,794,542,559",85,0,7,29,77,08/26/21
,Prince Royce,"3,197,914,038","1,250,251,740",122,0,8,52,112,10/10/21
,Lil Tjay,"3,187,332,730","1,505,787,230",61,0,8,44,60,10/27/21
,Three Days Grace,"3,181,987,439","589,876",84,0,8,55,82,10/26/21
,Phil Collins,"3,161,779,013","96,322,815",336,0,8,35,141,09/30/21
,Jason Aldean,"3,160,575,778","130,809,620",137,0,8,58,132,09/16/21
,Why Don't We,"3,153,762,831","86,038,587",92,0,10,53,82,08/08/21
,Seeb,"3,148,225,045","13,599,416",85,1,6,24,56,01/04/21
,Lil Tecca,"3,144,962,075","232,001,931",72,0,7,34,68,10/13/21
,Akon,"3,138,818,995","2,853,016,803",200,0,8,34,111,10/26/21
,Lil Mosey,"3,135,692,727","405,632,040",44,0,5,33,44,10/26/21
,George Ezra,"3,134,491,990","35,557",59,0,6,34,52,09/03/21
,Dan + Shay,"3,122,596,000","22,294,018",71,0,7,39,63,09/23/21
,Wesley Safadão,"3,121,201,802","555,937,674",267,0,4,54,244,10/18/21
,Jessie J,"3,107,842,052","57,987,616",119,0,6,32,95,10/22/21
,Billy Joel,"3,105,424,953","7,566,488",408,0,9,35,131,09/21/21
,Eagles,"3,104,628,533",0,193,0,5,36,114,10/13/21
,Pearl Jam,"3,089,500,881","1,253,096",399,0,7,47,226,03/19/21
,Trey Songz,"3,085,673,694","1,279,408,964",266,0,5,56,181,10/26/21
,benny blanco,"3,068,690,475","13,896,521",21,1,6,12,17,09/28/21
,Johnny Cash,"3,068,093,371","100,275,517","1,561",0,6,47,219,01/04/21
,Passenger,"3,047,211,461","1,798,813",216,1,2,44,177,09/29/21
,CNCO,"3,040,075,968","217,955,421",78,0,5,42,68,10/27/21
,The Strokes,"3,035,560,945","2,116,233",82,0,6,63,73,10/10/21
,Mark Ronson,"3,027,553,085","1,089,189,281",151,1,4,23,82,10/19/21
,Lin-Manuel Miranda,"3,014,041,417","189,578,224",85,0,9,37,59,08/16/21
,Lukas Graham,"3,005,994,250","158,206,429",60,1,3,25,49,09/21/21
,Avenged Sevenfold,"2,994,656,347","1,889,849",164,0,8,59,129,07/01/21
,Céline Dion,"2,991,751,318","43,840,990",493,0,4,52,239,10/26/21
,Lizzo,"2,984,561,772","49,148,791",64,0,6,25,48,10/11/21
,The Offspring,"2,981,916,869",0,160,0,7,41,122,08/19/21
,Nio Garcia,"2,979,010,114","102,148,941",116,0,7,24,84,09/03/21
,Ricky Martin,"2,976,218,522","389,395,680",266,0,6,48,131,10/24/21
,Matheus & Kauan,"2,969,746,466","551,195,947",160,0,7,68,141,07/08/21
,Train,"2,953,135,246",0,170,0,6,20,83,10/09/21
,2 Chainz,"2,952,016,003","7,707,211,391",391,0,7,48,156,06/03/21
,Aventura,"2,938,863,725","271,684",132,0,10,37,106,10/12/21
,Jul,"2,924,029,986","774,340,164",522,0,0,63,495,10/27/21
,Foster The People,"2,914,530,104","28,653,784",90,1,6,36,68,09/03/21
,Bob Dylan,"2,907,341,173","190,548","1,302",0,6,41,302,10/08/21
,Pablo Alborán,"2,897,818,669","196,248,508",167,0,8,58,156,10/23/21
,Ricardo Arjona,"2,895,999,257","7,840,502",337,0,2,67,258,09/03/21
